tmstmp,typ,stpnm,stpid,vid,dstp,rt,rtdd,rtdir,des,prdtm,tablockid,tatripid,origtatripno,dly,prdctdn,zone,crt_prd,dep_time
20250130 20:06,A,Division & Pine,2098,8135,192,70,70,Westbound,Austin,2025-01-30 20:06:00,70 -856,88383438,262195508,False,DUE,,True,2025-01-30 20:06:00
20250130 20:06,A,Division & Central Park,2079,8139,175,70,70,Westbound,Austin,2025-01-30 20:06:00,70 -816,88364388,259624172,False,DUE,,True,2025-01-30 20:06:00
20250130 20:06,A,Division & Sedgwick,2042,8152,162,70,70,Westbound,Austin,2025-01-30 20:06:00,70 -853,88364390,259624174,False,DUE,,True,2025-01-30 20:06:00
20250130 20:06,A,Division & Clybourn,2043,8152,724,70,70,Westbound,Austin,2025-01-30 20:07:00,70 -853,88364390,259624174,False,DUE,,True,2025-01-30 20:07:00
20250130 20:06,A,Division & Campbell,2068,8112,771,70,70,Westbound,Austin,2025-01-30 20:07:00,72 -810,88364389,259624173,False,DUE,,True,2025-01-30 20:07:00
20250130 20:06,A,Division & Grand/Monticello,15042,8139,778,70,70,Westbound,Austin,2025-01-30 20:07:00,70 -816,88364388,259624172,False,DUE,,True,2025-01-30 20:07:00
20250130 20:06,A,Division & Central,17982,8135,828,70,70,Westbound,Austin,2025-01-30 20:07:00,70 -856,88383438,262195508,False,DUE,,True,2025-01-30 20:07:00
20250130 20:06,A,Division & Waller,2100,8135,1367,70,70,Westbound,Austin,2025-01-30 20:07:00,70 -856,88383438,262195508,False,DUE,,True,2025-01-30 20:07:00
20250130 20:06,A,Division & Western,14569,8112,306,70,70,Westbound,Austin,2025-01-30 20:07:00,72 -810,88364389,259624173,False,DUE,,True,2025-01-30 20:07:00
20250130 20:06,A,Division & Rockwell,2069,8112,1445,70,70,Westbound,Austin,2025-01-30 20:08:00,72 -810,88364389,259624173,False,DUE,,True,2025-01-30 20:08:00
