tmstmp,typ,stpnm,stpid,vid,dstp,rt,rtdd,rtdir,des,prdtm,tablockid,tatripid,origtatripno,dly,prdctdn,zone,crt_prd,dep_time
20250125 19:27,A,Grand & Oak Park,14809,2000,782,65,65,Westbound,Nordica,2025-01-25 19:28:00,65 -809,1021979,259644017,False,DUE,,True,2025-01-25 19:28:00
20250125 19:27,A,Grand & New England ,842,2000,1280,65,65,Westbound,Nordica,2025-01-25 19:28:00,65 -809,1021979,259644017,False,DUE,,True,2025-01-25 19:28:00
20250125 19:27,A,Grand & Sayre,844,2000,2113,65,65,Westbound,Nordica,2025-01-25 19:28:00,65 -809,1021979,259644017,False,DUE,,True,2025-01-25 19:28:00
20250125 19:27,A,Grand & Milwaukee (Blue Line),14774,8553,528,65,65,Westbound,Nordica,2025-01-25 19:28:00,65 -807,1021921,259644019,False,DUE,,True,2025-01-25 19:28:00
20250125 19:27,A,Grand & Division,808,8414,1908,65,65,Westbound,Nordica,2025-01-25 19:28:00,65 -804,1021933,259644018,False,DUE,,True,2025-01-25 19:28:00
20250125 19:27,A,Grand & Streeter,759,8615,256,65,65,Westbound,Nordica,2025-01-25 19:28:00,65 -801,1021920,259644020,False,DUE,,True,2025-01-25 19:28:00
20250125 19:27,A,Grand & Peoria,776,8553,962,65,65,Westbound,Nordica,2025-01-25 19:29:00,65 -807,1021921,259644019,False,DUE,,True,2025-01-25 19:29:00
20250125 19:27,A,Grand & Hamlin,15557,8414,3329,65,65,Westbound,Nordica,2025-01-25 19:29:00,65 -804,1021933,259644018,False,2,,True,2025-01-25 19:29:00
20250125 19:27,A,Grand & Morgan,15174,8553,1720,65,65,Westbound,Nordica,2025-01-25 19:29:00,65 -807,1021921,259644019,False,DUE,,True,2025-01-25 19:29:00
20250125 19:27,A,Grand & Lawndale,809,8414,2589,65,65,Westbound,Nordica,2025-01-25 19:29:00,65 -804,1021933,259644018,False,DUE,,True,2025-01-25 19:29:00
20250125 19:27,A,Grand & Peshtigo,760,8615,1191,65,65,Westbound,Nordica,2025-01-25 19:29:00,65 -801,1021920,259644020,False,2,,True,2025-01-25 19:29:00
20250125 19:27,A,Grand & Aberdeen,778,8553,2216,65,65,Westbound,Nordica,2025-01-25 19:29:00,65 -807,1021921,259644019,False,2,,True,2025-01-25 19:29:00
20250125 19:27,A,Grand & Streeter,759,1195,640,29,29,Southbound,95th Red Line,2025-01-25 19:29:00,29 -167,673,259639608,False,DUE,,True,2025-01-25 19:29:00
20250125 19:27,A,Grand & Racine,780,8553,2961,65,65,Westbound,Nordica,2025-01-25 19:30:00,65 -807,1021921,259644019,False,2,,True,2025-01-25 19:30:00
