tmstmp,typ,stpnm,stpid,vid,dstp,rt,rtdd,rtdir,des,prdtm,tablockid,tatripid,origtatripno,dly,prdctdn,zone,crt_prd,dep_time
20250129 18:54,A,Division & Western,14569,1929,288,70,70,Westbound,Austin,2025-01-29 18:54:00,70 -852,88364384,259624168,False,DUE,,True,2025-01-29 18:54:00
20250129 18:54,A,Clark & Maple,1898,1798,90,22,22,Northbound,Howard,2025-01-29 18:54:00,22 -570,1040959,259616876,False,DUE,,True,2025-01-29 18:54:00
20250129 18:54,A,Division & Elston,2053,8418,327,70,70,Westbound,Austin,2025-01-29 18:54:00,70 -814,88364385,259624169,False,DUE,,True,2025-01-29 18:54:00
20250129 18:54,A,Division & Lavergne,2093,1962,156,70,70,Westbound,Austin,2025-01-29 18:54:00,70 -810,88364383,259624167,False,DUE,,True,2025-01-29 18:54:00
20250129 18:54,A,Division & Campbell,2068,1929,753,70,70,Westbound,Austin,2025-01-29 18:55:00,70 -852,88364384,259624168,False,DUE,,True,2025-01-29 18:55:00
20250129 18:54,A,Division & Cleaver,2056,8418,1549,70,70,Westbound,Austin,2025-01-29 18:55:00,70 -814,88364385,259624169,False,DUE,,True,2025-01-29 18:55:00
20250129 18:54,A,Division & Noble,2055,8418,1237,70,70,Westbound,Austin,2025-01-29 18:55:00,70 -814,88364385,259624169,False,DUE,,True,2025-01-29 18:55:00
20250129 18:54,A,Division & Leclaire,2094,1962,811,70,70,Westbound,Austin,2025-01-29 18:55:00,70 -810,88364383,259624167,False,DUE,,True,2025-01-29 18:55:00
20250129 18:54,A,Division & Rockwell,2069,1929,1427,70,70,Westbound,Austin,2025-01-29 18:56:00,70 -852,88364384,259624168,False,DUE,,True,2025-01-29 18:56:00
20250129 18:54,A,Division & Laramie,17185,1962,1615,70,70,Westbound,Austin,2025-01-29 18:56:00,70 -810,88364383,259624167,False,DUE,,True,2025-01-29 18:56:00
20250129 18:54,A,Division & Lockwood,2096,1962,2168,70,70,Westbound,Austin,2025-01-29 18:56:00,70 -810,88364383,259624167,False,2,,True,2025-01-29 18:56:00
20250129 18:54,A,Division & Washtenaw,2070,1929,2103,70,70,Westbound,Austin,2025-01-29 18:57:00,70 -852,88364384,259624168,False,2,,True,2025-01-29 18:57:00
20250129 18:54,D,Walton & Clark,18412,8149,212,70,70,Westbound,Austin,2025-01-29 18:57:00,70 -854,88364386,259624170,False,3,,True,2025-01-29 18:57:00
20250129 18:54,A,Division & Long,17981,1962,3033,70,70,Westbound,Austin,2025-01-29 18:57:00,70 -810,88364383,259624167,False,2,,True,2025-01-29 18:57:00
20250129 18:54,A,Division & Pine,2098,1962,3683,70,70,Westbound,Austin,2025-01-29 18:57:00,70 -810,88364383,259624167,False,3,,True,2025-01-29 18:57:00
