tmstmp,typ,stpnm,stpid,vid,dstp,rt,rtdd,rtdir,des,prdtm,tablockid,tatripid,origtatripno,dly,prdctdn,zone,crt_prd,dep_time
20250129 17:56,A,Division & Ashland (Blue Line),2059,1075,97,70,70,Westbound,Austin,2025-01-29 17:56:00,70 -807,88364380,259624165,False,DUE,,True,2025-01-29 17:56:00
20250129 17:56,A,Division & Rockwell,2069,8184,585,70,70,Westbound,Austin,2025-01-29 17:57:00,70 -801,88364379,259624164,False,DUE,,True,2025-01-29 17:57:00
20250129 17:56,A,Division & Homan,14571,8138,292,70,70,Westbound,Austin,2025-01-29 17:57:00,70 -816,88364378,259624163,False,DUE,,True,2025-01-29 17:57:00
20250129 17:56,A,Division & Karlov,2084,8615,620,70,70,Westbound,Austin,2025-01-29 17:57:00,70 -806,88364377,259624162,False,DUE,,True,2025-01-29 17:57:00
20250129 17:56,A,Walton & Clark,18412,4021,1466,22,22,Northbound,Howard,2025-01-29 17:58:00,22 -564,1040953,259616869,False,DUE,,True,2025-01-29 17:58:00
20250129 17:56,A,Division & Washtenaw,2070,8184,1261,70,70,Westbound,Austin,2025-01-29 17:58:00,70 -801,88364379,259624164,False,DUE,,True,2025-01-29 17:58:00
20250129 17:56,A,Division & Central Park,2079,8138,1459,70,70,Westbound,Austin,2025-01-29 17:58:00,70 -816,88364378,259624163,False,DUE,,True,2025-01-29 17:58:00
20250129 17:56,A,Division & Wells,15676,2011,787,70,70,Westbound,Austin,2025-01-29 17:58:00,70 -853,88364381,259624166,False,DUE,,True,2025-01-29 17:58:00
20250129 17:56,A,Division & Keeler,17979,8615,1424,70,70,Westbound,Austin,2025-01-29 17:58:00,70 -806,88364377,259624162,False,DUE,,True,2025-01-29 17:58:00
20250129 17:56,A,Division & Kildare,2086,8615,1944,70,70,Westbound,Austin,2025-01-29 17:58:00,70 -806,88364377,259624162,False,DUE,,True,2025-01-29 17:58:00
20250129 17:56,A,Clark & Oak,18732,4395,1384,22,22,Northbound,Howard,2025-01-29 17:58:00,22 -563,1040951,259616868,False,DUE,,True,2025-01-29 17:58:00
20250129 17:56,A,Division & Paulina,2060,1075,916,70,70,Westbound,Austin,2025-01-29 17:58:00,70 -807,88364380,259624165,False,DUE,,True,2025-01-29 17:58:00
20250129 17:56,A,Walton & Clark,18412,4395,907,22,22,Northbound,Howard,2025-01-29 17:58:00,22 -563,1040951,259616868,False,DUE,,True,2025-01-29 17:58:00
20250129 17:56,D,Division & Austin Terminal,1970,8149,0,70,70,Eastbound,Walton & Dearborn,2025-01-29 17:58:00,70 -854,88364472,259624078,False,DUE,,True,2025-01-29 17:58:00
20250129 17:56,A,Clark & Oak,18732,4021,1943,22,22,Northbound,Howard,2025-01-29 17:59:00,22 -564,1040953,259616869,False,2,,True,2025-01-29 17:59:00
20250129 17:56,A,Division & California,14597,8184,2098,70,70,Westbound,Austin,2025-01-29 17:59:00,70 -801,88364379,259624164,False,2,,True,2025-01-29 17:59:00
20250129 17:56,A,Division & Francisco,2072,8184,2652,70,70,Westbound,Austin,2025-01-29 17:59:00,70 -801,88364379,259624164,False,3,,True,2025-01-29 17:59:00
20250129 17:56,A,Division & Wood,2061,1075,1436,70,70,Westbound,Austin,2025-01-29 17:59:00,70 -807,88364380,259624165,False,2,,True,2025-01-29 17:59:00
20250129 17:56,A,Clark & Maple,1898,4021,2292,22,22,Northbound,Howard,2025-01-29 17:59:00,22 -564,1040953,259616869,False,3,,True,2025-01-29 17:59:00
20250129 17:56,A,Division & Grand/Monticello,15042,8138,2062,70,70,Westbound,Austin,2025-01-29 17:59:00,70 -816,88364378,259624163,False,2,,True,2025-01-29 17:59:00
20250129 17:56,A,Clark & Maple,1898,4395,1733,22,22,Northbound,Howard,2025-01-29 17:59:00,22 -563,1040951,259616868,False,2,,True,2025-01-29 17:59:00
20250129 17:56,A,Division & Kostner,17980,8615,2772,70,70,Westbound,Austin,2025-01-29 17:59:00,70 -806,88364377,259624162,False,2,,True,2025-01-29 17:59:00
20250129 17:56,A,300 W Division,2041,2011,1261,70,70,Westbound,Austin,2025-01-29 17:59:00,70 -853,88364381,259624166,False,2,,True,2025-01-29 17:59:00
20250129 17:56,A,Division & Sedgwick,2042,2011,1697,70,70,Westbound,Austin,2025-01-29 18:00:00,70 -853,88364381,259624166,False,3,,True,2025-01-29 18:00:00
20250129 17:56,A,Division & Kilbourn,15962,8615,3425,70,70,Westbound,Austin,2025-01-29 18:00:00,70 -806,88364377,259624162,False,3,,True,2025-01-29 18:00:00
20250129 17:56,A,Division & Hamlin,17978,8138,2947,70,70,Westbound,Austin,2025-01-29 18:00:00,70 -816,88364378,259624163,False,3,,True,2025-01-29 18:00:00
20250129 17:56,A,Division & Kolmar,2089,8615,3629,70,70,Westbound,Austin,2025-01-29 18:00:00,70 -806,88364377,259624162,False,3,,True,2025-01-29 18:00:00
20250129 17:56,A,4659 W Division,2090,8615,4728,70,70,Westbound,Austin,2025-01-29 18:00:00,70 -806,88364377,259624162,False,4,,True,2025-01-29 18:00:00
20250129 17:56,A,Division & Humboldt,2074,8184,3412,70,70,Westbound,Austin,2025-01-29 18:00:00,70 -801,88364379,259624164,False,3,,True,2025-01-29 18:00:00
20250129 17:56,A,Division & Richmond,2073,8184,2991,70,70,Westbound,Austin,2025-01-29 18:00:00,70 -801,88364379,259624164,False,3,,True,2025-01-29 18:00:00
20250129 17:56,A,Division & Sedgwick,2042,8568,3044,37,37,Northbound,Fullerton Red Line,2025-01-29 18:01:00,37 -807,88365806,259618343,False,4,,True,2025-01-29 18:01:00
20250129 17:56,A,Division & Springfield,2082,8138,3488,70,70,Westbound,Austin,2025-01-29 18:01:00,70 -816,88364378,259624163,False,4,,True,2025-01-29 18:01:00
