tmstmp,typ,stpnm,stpid,vid,dstp,rt,rtdd,rtdir,des,prdtm,tablockid,tatripid,origtatripno,dly,prdctdn,zone,crt_prd,dep_time
20250126 12:40,A,Grand & Mobile,836,8547,2064,65,65,Westbound,Nordica,2025-01-26 12:40:00,65 -851,1022088,259605153,False,DUE,,True,2025-01-26 12:40:00
20250126 12:40,A,Grand & State (Red Line),764,8129,132,65,65,Westbound,Nordica,2025-01-26 12:40:00,65 -802,1022015,259605226,False,DUE,,True,2025-01-26 12:40:00
20250126 12:40,A,Grand & Meade,834,8547,690,65,65,Westbound,Nordica,2025-01-26 12:40:00,65 -851,1022088,259605153,False,DUE,,True,2025-01-26 12:40:00
20250126 12:40,A,Grand & Melvina,15335,8547,1566,65,65,Westbound,Nordica,2025-01-26 12:40:00,65 -851,1022088,259605153,False,DUE,,True,2025-01-26 12:40:00
20250126 12:40,A,Grand & Narragansett,837,8547,2787,65,65,Westbound,Nordica,2025-01-26 12:40:00,65 -851,1022088,259605153,False,DUE,,True,2025-01-26 12:40:00
20250126 12:40,A,Grand & Natchez,838,8547,3373,65,65,Westbound,Nordica,2025-01-26 12:41:00,65 -851,1022088,259605153,False,DUE,,True,2025-01-26 12:41:00
20250126 12:39,A,Grand & Laramie,3883,1966,1149,65,65,Westbound,Nordica,2025-01-26 12:41:00,65 -807,1022013,259605224,False,DUE,,True,2025-01-26 12:41:00
20250126 12:40,A,Grand & Dearborn,765,8129,558,65,65,Westbound,Nordica,2025-01-26 12:41:00,65 -802,1022015,259605226,False,DUE,,True,2025-01-26 12:41:00
20250126 12:39,A,Grand & Lockwood ,826,1966,1677,65,65,Westbound,Nordica,2025-01-26 12:41:00,65 -807,1022013,259605224,False,DUE,,True,2025-01-26 12:41:00
20250126 12:40,A,Grand & California,797,8689,705,65,65,Westbound,Nordica,2025-01-26 12:41:00,65 -806,1022014,259605225,False,DUE,,True,2025-01-26 12:41:00
20250126 12:40,A,Grand & Chicago,798,8689,1514,65,65,Westbound,Nordica,2025-01-26 12:41:00,65 -806,1022014,259605225,False,DUE,,True,2025-01-26 12:41:00
20250126 12:40,D,Grand & Nordica Terminal,668,8726,-1,74,74,Eastbound,Halsted,2025-01-26 12:41:00,74 -851,153,259606397,False,DUE,,True,2025-01-26 12:41:00
20250126 12:40,A,Fullerton & Grand,15517,8555,2336,74,74,Westbound,Grand/Nordica,2025-01-26 12:42:00,74 -807,146,259606314,False,2,,True,2025-01-26 12:42:00
20250126 12:40,A,Fullerton & Grand,15517,8547,4072,65,65,Westbound,Nordica,2025-01-26 12:42:00,65 -851,1022088,259605153,False,DUE,,True,2025-01-26 12:42:00
20250126 12:39,A,5500 W Grand,828,1966,3014,65,65,Westbound,Nordica,2025-01-26 12:42:00,65 -807,1022013,259605224,False,2,,True,2025-01-26 12:42:00
20250126 12:39,A,Grand & Sacramento,800,8451,1468,52,52,Southbound,63rd Place,2025-01-26 12:42:00,52 -206,1044,259603464,False,2,,True,2025-01-26 12:42:00
20250126 12:40,A,Grand & Clark,766,8129,962,65,65,Westbound,Nordica,2025-01-26 12:42:00,65 -802,1022015,259605226,False,2,,True,2025-01-26 12:42:00
20250126 12:40,A,Grand & Normandy ,840,8547,4867,65,65,Westbound,Nordica,2025-01-26 12:42:00,65 -851,1022088,259605153,False,2,,True,2025-01-26 12:42:00
20250126 12:40,A,Grand & Sacramento,800,8689,2685,65,65,Westbound,Nordica,2025-01-26 12:42:00,65 -806,1022014,259605225,False,DUE,,True,2025-01-26 12:42:00
20250126 12:40,A,Grand & Kedzie,802,8689,3764,65,65,Westbound,Nordica,2025-01-26 12:42:00,65 -806,1022014,259605225,False,2,,True,2025-01-26 12:42:00
20250126 12:39,A,Grand & Long,15450,1966,2604,65,65,Westbound,Nordica,2025-01-26 12:42:00,65 -807,1022013,259605224,False,2,,True,2025-01-26 12:42:00
20250126 12:39,A,Grand & Streeter,759,8666,750,66,66,Westbound,Austin,2025-01-26 12:42:00,66 -804,1078983,259605421,False,2,,True,2025-01-26 12:42:00
20250126 12:39,A,Grand & Central ,829,1966,3916,65,65,Westbound,Nordica,2025-01-26 12:43:00,65 -807,1022013,259605224,False,3,,True,2025-01-26 12:43:00
20250126 12:40,A,Grand & Oak Park,14809,8547,5711,65,65,Westbound,Nordica,2025-01-26 12:43:00,65 -851,1022088,259605153,False,3,,False,2025-01-26 12:45:00
20250126 12:40,A,Grand & Laramie,3883,8658,1992,73,73,Westbound,Laramie,2025-01-26 12:43:00,73 -801,36,259606270,False,2,,True,2025-01-26 12:43:00
20250126 12:40,A,Grand & Augusta,18376,8689,4550,65,65,Westbound,Nordica,2025-01-26 12:43:00,65 -806,1022014,259605225,False,3,,True,2025-01-26 12:43:00
20250126 12:40,A,Grand & Normandy ,840,8555,3131,74,74,Westbound,Grand/Nordica,2025-01-26 12:43:00,74 -807,146,259606314,False,3,,True,2025-01-26 12:43:00
20250126 12:40,A,Grand & Franklin,769,8129,2175,65,65,Westbound,Nordica,2025-01-26 12:44:00,65 -802,1022015,259605226,False,4,,True,2025-01-26 12:44:00
20250126 12:40,A,Grand & Oak Park,14809,8555,3975,74,74,Westbound,Grand/Nordica,2025-01-26 12:44:00,74 -807,146,259606314,False,3,,True,2025-01-26 12:44:00
20250126 12:39,A,Grand & Major,830,1966,4429,65,65,Westbound,Nordica,2025-01-26 12:44:00,65 -807,1022013,259605224,False,3,,True,2025-01-26 12:44:00
20250126 12:39,A,Grand & Menard,15337,1966,5249,65,65,Westbound,Nordica,2025-01-26 12:44:00,65 -807,1022013,259605224,False,4,,True,2025-01-26 12:44:00
20250126 12:40,A,Grand & Sayre,844,8555,5306,74,74,Westbound,Grand/Nordica,2025-01-26 12:44:00,74 -807,146,259606314,False,4,,True,2025-01-26 12:44:00
