tmstmp,typ,stpnm,stpid,vid,dstp,rt,rtdd,rtdir,des,prdtm,tablockid,tatripid,origtatripno,dly,prdctdn,zone,crt_prd,dep_time
20250130 15:46,A,Division & Laramie,17185,8429,402,70,70,Westbound,Austin,2025-01-30 15:46:00,20 -861,88351635,259624097,False,DUE,,True,2025-01-30 15:46:00
20250130 15:46,A,Division & Humboldt,2074,8430,93,70,70,Westbound,Austin,2025-01-30 15:46:00,70 -801,88364363,259624150,False,DUE,,True,2025-01-30 15:46:00
20250130 15:46,A,Division & Elston,2053,8152,823,70,70,Westbound,Austin,2025-01-30 15:47:00,70 -853,88364366,259624153,False,DUE,,True,2025-01-30 15:47:00
20250130 15:46,A,Division & Wells,15676,1900,506,70,70,Westbound,Austin,2025-01-30 15:47:00,70 -808,88364367,259624154,False,DUE,,True,2025-01-30 15:47:00
20250130 15:46,A,Division & Lockwood,2096,8429,955,70,70,Westbound,Austin,2025-01-30 15:47:00,20 -861,88351635,259624097,False,DUE,,True,2025-01-30 15:47:00
20250130 15:46,A,Division & California,14597,8648,804,70,70,Westbound,Austin,2025-01-30 15:47:00,70 -851,88364364,259624151,False,DUE,,True,2025-01-30 15:47:00
20250130 15:46,A,Division & Pine,2098,8139,809,70,70,Westbound,Austin,2025-01-30 15:47:00,70 -816,88364361,259624149,False,DUE,,True,2025-01-30 15:47:00
20250130 15:46,A,Division & Mayfield,2102,8138,570,70,70,Westbound,Austin,2025-01-30 15:47:00,70 -806,88364360,259624148,False,DUE,,True,2025-01-30 15:47:00
20250130 15:46,A,Division & Central,17982,8139,1445,70,70,Westbound,Austin,2025-01-30 15:47:00,70 -816,88364361,259624149,False,DUE,,True,2025-01-30 15:47:00
20250130 15:46,A,Division & Kedzie,2075,8430,1479,70,70,Westbound,Austin,2025-01-30 15:48:00,70 -801,88364363,259624150,False,DUE,,True,2025-01-30 15:48:00
20250130 15:46,A,300 W Division,2041,1900,980,70,70,Westbound,Austin,2025-01-30 15:48:00,70 -808,88364367,259624154,False,2,,True,2025-01-30 15:48:00
20250130 15:46,A,Division & Pine,2098,8429,2470,70,70,Westbound,Austin,2025-01-30 15:48:00,20 -861,88351635,259624097,False,DUE,,True,2025-01-30 15:48:00
20250130 15:46,A,Division & Waller,2100,8139,1984,70,70,Westbound,Austin,2025-01-30 15:48:00,70 -816,88364361,259624149,False,DUE,,True,2025-01-30 15:48:00
20250130 15:46,A,Division & Francisco,2072,8648,1358,70,70,Westbound,Austin,2025-01-30 15:48:00,70 -851,88364364,259624151,False,DUE,,True,2025-01-30 15:48:00
20250130 15:46,A,Division & Long,17981,8429,1820,70,70,Westbound,Austin,2025-01-30 15:48:00,20 -861,88351635,259624097,False,DUE,,True,2025-01-30 15:48:00
20250130 15:46,A,Division & Damen,2063,8779,1001,70,70,Westbound,Austin,2025-01-30 15:48:00,70 -807,88364365,259624152,False,DUE,,True,2025-01-30 15:48:00
20250130 15:46,A,Division & Richmond,2073,8648,1697,70,70,Westbound,Austin,2025-01-30 15:48:00,70 -851,88364364,259624151,False,DUE,,True,2025-01-30 15:48:00
20250130 15:46,A,Division & Menard,2101,8139,2625,70,70,Westbound,Austin,2025-01-30 15:48:00,70 -816,88364361,259624149,False,2,,True,2025-01-30 15:48:00
20250130 15:44,A,Walton & Clark,18412,1190,2677,22,22,Northbound,Howard,2025-01-30 15:48:00,22 -515,1040922,259616848,False,2,,True,2025-01-30 15:48:00
20250130 15:46,D,Walton & Clark,18412,8691,244,70,70,Westbound,Austin,2025-01-30 15:48:00,70 -810,88364368,259624155,False,DUE,,True,2025-01-30 15:48:00
20250130 15:46,A,Division & Humboldt,2074,8648,2118,70,70,Westbound,Austin,2025-01-30 15:49:00,70 -851,88364364,259624151,False,2,,True,2025-01-30 15:49:00
20250130 15:46,A,Division & Cleaver,2056,8152,2045,70,70,Westbound,Austin,2025-01-30 15:49:00,70 -853,88364366,259624153,False,2,,True,2025-01-30 15:49:00
20250130 15:46,A,Division & Hoyne,2064,8779,1673,70,70,Westbound,Austin,2025-01-30 15:49:00,70 -807,88364365,259624152,False,2,,True,2025-01-30 15:49:00
20250130 15:46,A,Division & Central,17982,8429,3106,70,70,Westbound,Austin,2025-01-30 15:49:00,20 -861,88351635,259624097,False,2,,True,2025-01-30 15:49:00
20250130 15:46,A,Clark & Oak,18732,8691,721,70,70,Westbound,Austin,2025-01-30 15:49:00,70 -810,88364368,259624155,False,3,,True,2025-01-30 15:49:00
20250130 15:44,A,Clark & Oak,18732,1190,3154,22,22,Northbound,Howard,2025-01-30 15:49:00,22 -515,1040922,259616848,False,3,,True,2025-01-30 15:49:00
20250130 15:46,A,Division & Noble,2055,8152,1733,70,70,Westbound,Austin,2025-01-30 15:49:00,70 -853,88364366,259624153,False,2,,True,2025-01-30 15:49:00
20250130 15:46,A,Division & Mayfield,2102,8139,3265,70,70,Westbound,Austin,2025-01-30 15:49:00,70 -816,88364361,259624149,False,2,,True,2025-01-30 15:49:00
20250130 15:46,D,Division & Austin Terminal,1970,8547,0,70,70,Eastbound,Walton & Dearborn,2025-01-30 15:49:00,70 -815,88364463,259624069,False,2,,True,2025-01-30 15:49:00
20250130 15:46,A,Division & Sedgwick,2042,1900,1416,70,70,Westbound,Austin,2025-01-30 15:49:00,70 -808,88364367,259624154,False,2,,True,2025-01-30 15:49:00
20250130 15:46,A,Division & Spaulding,2076,8430,1976,70,70,Westbound,Austin,2025-01-30 15:49:00,70 -801,88364363,259624150,False,2,,True,2025-01-30 15:49:00
20250130 15:46,A,Division & Leavitt,18165,8779,2472,70,70,Westbound,Austin,2025-01-30 15:50:00,70 -807,88364365,259624152,False,3,,True,2025-01-30 15:50:00
20250130 15:46,A,Division & Clybourn,2043,1900,1978,70,70,Westbound,Austin,2025-01-30 15:50:00,70 -808,88364367,259624154,False,4,,True,2025-01-30 15:50:00
20250130 15:46,A,Division & Waller,2100,8429,3645,70,70,Westbound,Austin,2025-01-30 15:50:00,20 -861,88351635,259624097,False,3,,True,2025-01-30 15:50:00
20250130 15:46,A,Clark & Maple,1898,8691,1070,70,70,Westbound,Austin,2025-01-30 15:50:00,70 -810,88364368,259624155,False,3,,True,2025-01-30 15:50:00
