tmstmp,typ,stpnm,stpid,vid,dstp,rt,rtdd,rtdir,des,prdtm,tablockid,tatripid,origtatripno,dly,prdctdn,zone,crt_prd,dep_time
20250128 10:27,A,S. Shore Drive & 77th Street,7058,8520,366,6,6,Southbound,79th/South Shore,2025-01-28 10:27:00,6 -101,22223660,261017306,False,DUE,,True,2025-01-28 10:42:00
20250128 10:27,A,79th Street & Exchange Metra,2604,1259,195,79,79,Westbound,Ford City,2025-01-28 10:27:00,79 -701,65,259626056,False,DUE,,True,2025-01-28 10:42:00
20250128 10:27,A,Commercial & 90th Street,7074,1137,164,71,71,Southbound,112th/Torrence,2025-01-28 10:27:00,71 -104,22223561,259624343,False,DUE,,True,2025-01-28 10:42:00
20250128 10:28,A,67th Street & Greenwood,10188,1421,879,67,67,Eastbound,67th/South Shore,2025-01-28 10:28:00,67 -602,88358347,261121905,False,DUE,,True,2025-01-28 10:42:00
20250128 10:28,A,67th Street & Ingleside,10186,1421,271,67,67,Eastbound,67th/South Shore,2025-01-28 10:28:00,67 -602,88358347,261121905,False,DUE,,True,2025-01-28 10:42:00
20250128 10:27,A,75th Street & Euclid,10862,1511,505,75,75,Westbound,Damen,2025-01-28 10:28:00,75 -611,10002522,259625220,False,DUE,,True,2025-01-28 10:42:00
20250128 10:27,A,S. Shore Drive & Cheltenham,7060,8520,2360,6,6,Southbound,79th/South Shore,2025-01-28 10:28:00,6 -101,22223660,261017306,False,DUE,,True,2025-01-28 10:42:00
20250128 10:27,A,Commercial & 91st Street,14542,1137,845,71,71,Southbound,112th/Torrence,2025-01-28 10:28:00,71 -104,22223561,259624343,False,DUE,,True,2025-01-28 10:42:00
20250128 10:27,A,67th Street & Oglesby,15391,1472,113,67,67,Westbound,Ford City,2025-01-28 10:28:00,67 -604,88358099,261121764,False,DUE,,True,2025-01-28 10:42:00
20250128 10:28,A,67th Street & Ellis,10078,1381,148,67,67,Westbound,69th/Western,2025-01-28 10:28:00,67 -607,88358098,261121763,False,DUE,,True,2025-01-28 10:42:00
20250128 10:27,A,87th Street & Bennett,9466,1304,834,87,87,Westbound,Western,2025-01-28 10:28:00,87 -707,10004797,259628316,False,DUE,,True,2025-01-28 10:42:00
20250128 10:28,A,67th Street & Ellis,10187,1421,599,67,67,Eastbound,67th/South Shore,2025-01-28 10:28:00,67 -602,88358347,261121905,False,DUE,,True,2025-01-28 10:42:00
20250128 10:27,A,Olive-Harvey College,7213,8512,728,106,106,Eastbound,Stony Island/103rd,2025-01-28 10:28:00,106 -102,119538,259612542,False,DUE,,False,2025-01-28 10:49:00
20250128 10:27,A,Stony Island & 93rd Street,12020,8476,423,95,95,Westbound,87th/Damen,2025-01-28 10:28:00,95 -105,10003887,259629671,False,DUE,,True,2025-01-28 10:42:00
20250128 10:27,A,S. Shore Drive & 78th Street,7059,8520,1210,6,6,Southbound,79th/South Shore,2025-01-28 10:28:00,6 -101,22223660,261017306,False,DUE,,True,2025-01-28 10:42:00
20250128 10:28,A,67th Street & Ingleside,10079,1381,474,67,67,Westbound,69th/Western,2025-01-28 10:28:00,67 -607,88358098,261121763,False,DUE,,True,2025-01-28 10:42:00
20250128 10:28,A,67th Street & Drexel,10080,1381,810,67,67,Westbound,69th/Western,2025-01-28 10:28:00,67 -607,88358098,261121763,False,DUE,,True,2025-01-28 10:42:00
20250128 10:28,A,Woodlawn & 103rd Street,7212,8530,1016,106,106,Westbound,95th Red Line,2025-01-28 10:28:00,106 -103,119564,259612476,False,DUE,,False,2025-01-28 11:06:00
20250128 10:27,A,87th Street & Jeffery,9465,1304,170,87,87,Westbound,Western,2025-01-28 10:28:00,87 -707,10004797,259628316,False,DUE,,True,2025-01-28 10:42:00
20250128 10:27,A,79th Street & Muskegon,17347,1259,957,79,79,Westbound,Ford City,2025-01-28 10:28:00,79 -701,65,259626056,False,DUE,,True,2025-01-28 10:42:00
20250128 10:27,A,75th Street & Constance ,10863,1511,1268,75,75,Westbound,Damen,2025-01-28 10:28:00,75 -611,10002522,259625220,False,DUE,,True,2025-01-28 10:42:00
20250128 10:27,A,Stony Island & 94th Street,7210,8476,860,95,95,Westbound,87th/Damen,2025-01-28 10:28:00,95 -105,10003887,259629671,False,DUE,,True,2025-01-28 10:42:00
20250128 10:27,A,Torrence & 105th Street,6989,8459,1125,71,71,Northbound,69th Red Line,2025-01-28 10:28:00,71 -110,22223549,259624255,False,DUE,,True,2025-01-28 10:42:00
20250128 10:27,D,67th Street & Oglesby Terminal,10068,1472,0,67,67,Westbound,Ford City,2025-01-28 10:28:00,67 -604,88358099,261121764,False,DUE,,True,2025-01-28 10:42:00
20250128 10:27,A,67th Street & Oglesby,15391,8328,1200,26,26,Northbound,Michigan/Chicago,2025-01-28 10:28:00,26 -107,88347233,260483101,False,DUE,,True,2025-01-28 10:42:00
20250128 10:27,A,Stony Island & 64th Street,5202,8511,778,6,6,Southbound,79th/South Shore,2025-01-28 10:28:00,6 -102,22223661,261017307,False,DUE,,True,2025-01-28 10:42:00
20250128 10:27,A,79th Street & Jeffery,2616,1287,600,79,79,Westbound,Western,2025-01-28 10:28:00,79 -728,64,259626055,False,DUE,,True,2025-01-28 10:42:00
20250128 10:27,A,Jeffery & 68th Street,5210,1196,356,15,15,Southbound,103rd/Stony Island,2025-01-28 10:28:00,15 -107,181,261852574,False,DUE,,True,2025-01-28 10:42:00
