tmstmp,typ,stpnm,stpid,vid,dstp,rt,rtdd,rtdir,des,prdtm,tablockid,tatripid,origtatripno,dly,prdctdn,zone,crt_prd,dep_time
20250130 14:47,A,Division & Cicero,16095,1964,200,70,70,Westbound,Austin,2025-01-30 14:47:00,70 -852,88351635,259624190,False,DUE,,True,2025-01-30 14:47:00
20250130 14:47,A,Division & Campbell,2068,8588,285,70,70,Westbound,Austin,2025-01-30 14:47:00,70 -814,88364358,259624146,False,DUE,,True,2025-01-30 14:47:00
20250130 14:47,A,Division & Menard,2101,8652,146,70,70,Westbound,Austin,2025-01-30 14:47:00,72 -804,88364356,259624144,False,DUE,,True,2025-01-30 14:47:00
20250130 14:47,A,Division & Noble,2055,8547,683,70,70,Westbound,Austin,2025-01-30 14:47:00,70 -815,88364359,259624147,False,DUE,,True,2025-01-30 14:47:00
20250130 14:47,A,Division & Rockwell,2069,8588,959,70,70,Westbound,Austin,2025-01-30 14:48:00,70 -814,88364358,259624146,False,DUE,,True,2025-01-30 14:48:00
20250130 14:47,A,Division & Lamon,2092,1964,723,70,70,Westbound,Austin,2025-01-30 14:48:00,70 -852,88351635,259624190,False,DUE,,True,2025-01-30 14:48:00
20250130 14:47,A,Division & Kildare,2086,8416,1291,70,70,Westbound,Austin,2025-01-30 14:48:00,70 -804,88364357,259624145,False,DUE,,True,2025-01-30 14:48:00
20250130 14:47,A,Division & Keeler,17979,8416,771,70,70,Westbound,Austin,2025-01-30 14:48:00,70 -804,88364357,259624145,False,DUE,,True,2025-01-30 14:48:00
20250130 14:47,A,Division & Cleaver,2056,8547,995,70,70,Westbound,Austin,2025-01-30 14:48:00,70 -815,88364359,259624147,False,DUE,,True,2025-01-30 14:48:00
20250130 14:47,A,Division & Mayfield,2102,8652,786,70,70,Westbound,Austin,2025-01-30 14:48:00,72 -804,88364356,259624144,False,DUE,,True,2025-01-30 14:48:00
20250130 14:47,A,Division & Leclaire,2094,1964,2050,70,70,Westbound,Austin,2025-01-30 14:49:00,70 -852,88351635,259624190,False,2,,True,2025-01-30 14:49:00
20250130 14:47,A,Division & Lavergne,2093,1964,1395,70,70,Westbound,Austin,2025-01-30 14:49:00,70 -852,88351635,259624190,False,DUE,,True,2025-01-30 14:49:00
20250130 14:47,A,Division & Kostner,17980,8416,2119,70,70,Westbound,Austin,2025-01-30 14:49:00,70 -804,88364357,259624145,False,DUE,,True,2025-01-30 14:49:00
20250130 14:47,A,Division & Washtenaw,2070,8588,1635,70,70,Westbound,Austin,2025-01-30 14:49:00,70 -814,88364358,259624146,False,DUE,,True,2025-01-30 14:49:00
20250130 14:47,A,300 W Division,2041,8138,1367,70,70,Westbound,Austin,2025-01-30 14:49:00,70 -806,88364360,259624148,False,2,,True,2025-01-30 14:49:00
20250130 14:47,A,Division & Wells,15676,8138,893,70,70,Westbound,Austin,2025-01-30 14:49:00,70 -806,88364360,259624148,False,DUE,,True,2025-01-30 14:49:00
20250130 14:47,A,Walton & Clark,18412,1405,1466,22,22,Northbound,Howard,2025-01-30 14:49:00,22 -552,1040916,259616842,False,2,,True,2025-01-30 14:49:00
20250130 14:47,A,Division & Kolmar,2089,8416,2976,70,70,Westbound,Austin,2025-01-30 14:50:00,70 -804,88364357,259624145,False,2,,True,2025-01-30 14:50:00
20250130 14:47,A,Division & Francisco,2072,8588,3026,70,70,Westbound,Austin,2025-01-30 14:50:00,70 -814,88364358,259624146,False,3,,True,2025-01-30 14:50:00
20250130 14:47,A,Division & Kilbourn,15962,8416,2772,70,70,Westbound,Austin,2025-01-30 14:50:00,70 -804,88364357,259624145,False,2,,True,2025-01-30 14:50:00
20250130 14:47,A,4659 W Division,2090,8416,4075,70,70,Westbound,Austin,2025-01-30 14:50:00,70 -804,88364357,259624145,False,3,,True,2025-01-30 14:50:00
20250130 14:47,A,Division & California,14597,8588,2472,70,70,Westbound,Austin,2025-01-30 14:50:00,70 -814,88364358,259624146,False,2,,True,2025-01-30 14:50:00
20250130 14:47,A,Division & Sedgwick,2042,8138,1803,70,70,Westbound,Austin,2025-01-30 14:50:00,70 -806,88364360,259624148,False,3,,True,2025-01-30 14:50:00
20250130 14:47,A,Division & Laramie,17185,1964,2854,70,70,Westbound,Austin,2025-01-30 14:50:00,70 -852,88351635,259624190,False,3,,True,2025-01-30 14:50:00
20250130 14:47,A,Division & Ashland (Blue Line),2059,8547,1986,70,70,Westbound,Austin,2025-01-30 14:50:00,70 -815,88364359,259624147,False,2,,True,2025-01-30 14:50:00
20250130 14:47,A,Division & Lockwood,2096,1964,3407,70,70,Westbound,Austin,2025-01-30 14:51:00,70 -852,88351635,259624190,False,3,,True,2025-01-30 14:51:00
20250130 14:47,A,Clark & Oak,18732,1405,1943,22,22,Northbound,Howard,2025-01-30 14:51:00,22 -552,1040916,259616842,False,3,,True,2025-01-30 14:51:00
20250130 14:47,A,Division & Humboldt,2074,8588,3786,70,70,Westbound,Austin,2025-01-30 14:51:00,70 -814,88364358,259624146,False,3,,True,2025-01-30 14:51:00
20250130 14:47,A,Division & Paulina,2060,8547,2805,70,70,Westbound,Austin,2025-01-30 14:51:00,70 -815,88364359,259624147,False,4,,True,2025-01-30 14:51:00
20250130 14:47,A,Division & Richmond,2073,8588,3365,70,70,Westbound,Austin,2025-01-30 14:51:00,70 -814,88364358,259624146,False,3,,True,2025-01-30 14:51:00
20250130 14:47,A,Division & Cicero,16095,8416,4791,70,70,Westbound,Austin,2025-01-30 14:51:00,70 -804,88364357,259624145,False,3,,True,2025-01-30 14:51:00
20250130 14:47,A,Clark & Maple,1898,1405,2292,22,22,Northbound,Howard,2025-01-30 14:51:00,22 -552,1040916,259616842,False,4,,True,2025-01-30 14:51:00
20250130 14:47,A,Division & Clybourn,2043,8138,2365,70,70,Westbound,Austin,2025-01-30 14:51:00,70 -806,88364360,259624148,False,4,,True,2025-01-30 14:51:00
20250130 14:47,A,Division & Long,17981,1964,4272,70,70,Westbound,Austin,2025-01-30 14:51:00,70 -852,88351635,259624190,False,4,,True,2025-01-30 14:51:00
20250130 14:47,A,Division & Lamon,2092,8416,5314,70,70,Westbound,Austin,2025-01-30 14:52:00,70 -804,88364357,259624145,False,4,,True,2025-01-30 14:52:00
20250130 14:47,A,Division & Larrabee,2045,8138,3280,70,70,Westbound,Austin,2025-01-30 14:52:00,70 -806,88364360,259624148,False,5,,True,2025-01-30 14:52:00
20250130 14:47,A,Division & Pine,2098,1964,4922,70,70,Westbound,Austin,2025-01-30 14:52:00,70 -852,88351635,259624190,False,4,,True,2025-01-30 14:52:00
20250130 14:47,A,Division & Lavergne,2093,8416,5986,70,70,Westbound,Austin,2025-01-30 14:52:00,70 -804,88364357,259624145,False,5,,True,2025-01-30 14:52:00
20250130 14:47,A,Division & Wood,2061,8547,3325,70,70,Westbound,Austin,2025-01-30 14:52:00,70 -815,88364359,259624147,False,5,,True,2025-01-30 14:52:00
20250130 14:47,A,Division & Kedzie,2075,8588,5172,70,70,Westbound,Austin,2025-01-30 14:53:00,70 -814,88364358,259624146,False,5,,True,2025-01-30 14:53:00
20250130 14:47,A,Division & Waller,2100,1964,6097,70,70,Westbound,Austin,2025-01-30 14:53:00,70 -852,88351635,259624190,False,6,,True,2025-01-30 14:53:00
20250130 14:47,A,Division & Spaulding,2076,8588,5669,70,70,Westbound,Austin,2025-01-30 14:53:00,70 -814,88364358,259624146,False,6,,True,2025-01-30 14:53:00
20250130 14:47,A,Division & Central,17982,1964,5558,70,70,Westbound,Austin,2025-01-30 14:53:00,70 -852,88351635,259624190,False,5,,True,2025-01-30 14:53:00
20250130 14:47,A,Division & Leclaire,2094,8416,6641,70,70,Westbound,Austin,2025-01-30 14:53:00,70 -804,88364357,259624145,False,5,,False,2025-01-30 14:55:00
20250130 14:47,A,Division & Halsted,2048,8138,4456,70,70,Westbound,Austin,2025-01-30 14:54:00,70 -806,88364360,259624148,False,7,,True,2025-01-30 14:54:00
20250130 14:47,A,Division & Laramie,17185,8416,7445,70,70,Westbound,Austin,2025-01-30 14:54:00,70 -804,88364357,259624145,False,6,,True,2025-01-30 14:54:00
20250130 14:47,A,Division & Menard,2101,1964,6738,70,70,Westbound,Austin,2025-01-30 14:54:00,70 -852,88351635,259624190,False,6,,True,2025-01-30 14:47:00
20250130 14:47,A,Division & Homan,14571,8588,6516,70,70,Westbound,Austin,2025-01-30 14:54:00,70 -814,88364358,259624146,False,7,,True,2025-01-30 14:54:00
20250130 14:47,A,Division & Damen,2063,8547,4657,70,70,Westbound,Austin,2025-01-30 14:55:00,70 -815,88364359,259624147,False,7,,False,2025-01-30 14:57:00
20250130 14:47,A,Division & Hooker,15368,8138,5273,70,70,Westbound,Austin,2025-01-30 14:55:00,70 -806,88364360,259624148,False,7,,True,2025-01-30 14:55:00
