tmstmp,typ,stpnm,stpid,vid,dstp,rt,rtdd,rtdir,des,prdtm,tablockid,tatripid,origtatripno,dly,prdctdn,zone,crt_prd,dep_time
20250130 17:43,A,Division & Spaulding,2076,8138,464,70,70,Westbound,Austin,2025-01-30 17:43:00,70 -806,88364377,259624162,False,DUE,,True,2025-01-30 17:43:00
20250130 17:43,A,Division & Ashland (Blue Line),2059,8430,107,70,70,Westbound,Austin,2025-01-30 17:43:00,70 -801,88364379,259624164,False,DUE,,True,2025-01-30 17:43:00
20250130 17:43,A,Division & Homan,14571,8138,1311,70,70,Westbound,Austin,2025-01-30 17:44:00,70 -806,88364377,259624162,False,DUE,,True,2025-01-30 17:44:00
20250130 17:43,A,Division & Kildare,2086,8547,520,70,70,Westbound,Austin,2025-01-30 17:44:00,70 -815,88364376,259624161,False,DUE,,True,2025-01-30 17:44:00
20250130 17:43,A,Division & Leavitt,18165,8139,739,70,70,Westbound,Austin,2025-01-30 17:44:00,70 -816,88364378,259624163,False,DUE,,True,2025-01-30 17:44:00
20250130 17:43,A,Walton & Clark,18412,1839,1604,22,22,Northbound,Howard,2025-01-30 17:45:00,22 -571,1040947,259616866,False,2,,True,2025-01-30 17:45:00
20250130 17:43,A,Division & Wells,15676,8779,848,70,70,Westbound,Austin,2025-01-30 17:45:00,70 -807,88364380,259624165,False,2,,True,2025-01-30 17:45:00
20250130 17:43,A,Division & Oakley,18163,8139,1408,70,70,Westbound,Austin,2025-01-30 17:45:00,70 -816,88364378,259624163,False,DUE,,True,2025-01-30 17:45:00
20250130 17:43,A,Division & Kostner,17980,8547,1348,70,70,Westbound,Austin,2025-01-30 17:45:00,70 -815,88364376,259624161,False,DUE,,True,2025-01-30 17:45:00
20250130 17:43,A,Division & Kolmar,2089,8547,2205,70,70,Westbound,Austin,2025-01-30 17:45:00,70 -815,88364376,259624161,False,2,,True,2025-01-30 17:45:00
20250130 17:43,A,Division & Kilbourn,15962,8547,2001,70,70,Westbound,Austin,2025-01-30 17:45:00,70 -815,88364376,259624161,False,DUE,,True,2025-01-30 17:45:00
