tmstmp,typ,stpnm,stpid,vid,dstp,rt,rtdd,rtdir,des,prdtm,tablockid,tatripid,origtatripno,dly,prdctdn,zone,crt_prd,dep_time
20250130 13:47,A,Division & California,14597,8779,-1,70,70,Westbound,Austin,2025-01-30 13:47:00,70 -807,88364353,259624141,False,DUE,,True,2025-01-30 13:47:00
20250130 13:47,A,Division & Paulina,2060,1900,149,70,70,Westbound,Austin,2025-01-30 13:47:00,70 -808,88364354,259624142,False,DUE,,True,2025-01-30 13:47:00
20250130 13:47,A,Division & Kostner,17980,8430,1440,70,70,Westbound,Austin,2025-01-30 13:48:00,70 -801,88364488,259624140,False,DUE,,True,2025-01-30 13:48:00
20250130 13:47,A,Division & Wood,2061,1900,669,70,70,Westbound,Austin,2025-01-30 13:48:00,70 -808,88364354,259624142,False,DUE,,True,2025-01-30 13:48:00
20250130 13:47,A,Division & Francisco,2072,8779,553,70,70,Westbound,Austin,2025-01-30 13:48:00,70 -807,88364353,259624141,False,DUE,,True,2025-01-30 13:48:00
20250130 13:47,A,Division & Richmond,2073,8779,892,70,70,Westbound,Austin,2025-01-30 13:48:00,70 -807,88364353,259624141,False,DUE,,True,2025-01-30 13:48:00
20250130 13:47,A,Division & Kilbourn,15962,8430,2093,70,70,Westbound,Austin,2025-01-30 13:48:00,70 -801,88364488,259624140,False,DUE,,True,2025-01-30 13:48:00
20250130 13:47,A,Division & Kildare,2086,8430,612,70,70,Westbound,Austin,2025-01-30 13:48:00,70 -801,88364488,259624140,False,DUE,,True,2025-01-30 13:48:00
20250130 13:47,A,Division & Kolmar,2089,8430,2297,70,70,Westbound,Austin,2025-01-30 13:49:00,70 -801,88364488,259624140,False,DUE,,True,2025-01-30 13:49:00
20250130 13:47,A,4659 W Division,2090,8430,3396,70,70,Westbound,Austin,2025-01-30 13:49:00,70 -801,88364488,259624140,False,2,,True,2025-01-30 13:49:00
20250130 13:47,A,300 W Division,2041,8691,1274,70,70,Westbound,Austin,2025-01-30 13:49:00,70 -810,88364355,259624143,False,2,,True,2025-01-30 13:49:00
20250130 13:47,A,Division & Humboldt,2074,8779,1313,70,70,Westbound,Austin,2025-01-30 13:49:00,70 -807,88364353,259624141,False,DUE,,True,2025-01-30 13:49:00
20250130 13:47,A,Division & Wells,15676,8691,800,70,70,Westbound,Austin,2025-01-30 13:49:00,70 -810,88364355,259624143,False,DUE,,True,2025-01-30 13:49:00
20250130 13:47,A,Division & Sedgwick,2042,8691,1710,70,70,Westbound,Austin,2025-01-30 13:50:00,70 -810,88364355,259624143,False,2,,True,2025-01-30 13:50:00
20250130 13:47,A,Division & Cicero,16095,8430,4112,70,70,Westbound,Austin,2025-01-30 13:50:00,70 -801,88364488,259624140,False,3,,True,2025-01-30 13:50:00
20250130 13:47,A,Walton & Clark,18412,1175,2322,22,22,Northbound,Howard,2025-01-30 13:50:00,22 -525,203962,259616836,False,2,,True,2025-01-30 13:50:00
20250130 13:47,A,Division & Spaulding,2076,8779,3196,70,70,Westbound,Austin,2025-01-30 13:50:00,70 -807,88364353,259624141,False,3,,True,2025-01-30 13:50:00
20250130 13:47,A,Clark & Oak,18732,1175,2799,22,22,Northbound,Howard,2025-01-30 13:50:00,22 -525,203962,259616836,False,2,,True,2025-01-30 13:50:00
20250130 13:47,A,Division & Damen,2063,1900,2001,70,70,Westbound,Austin,2025-01-30 13:50:00,70 -808,88364354,259624142,False,2,,True,2025-01-30 13:50:00
