tmstmp,typ,stpnm,stpid,vid,dstp,rt,rtdd,rtdir,des,prdtm,tablockid,tatripid,origtatripno,dly,prdctdn,zone,crt_prd,dep_time
20250130 16:44,A,Division & Homan,14571,1964,195,70,70,Westbound,Austin,2025-01-30 16:44:00,70 -852,88364371,259624157,False,DUE,,True,2025-01-30 16:44:00
20250130 16:44,A,Division & Long,17981,8691,425,70,70,Westbound,Austin,2025-01-30 16:44:00,70 -810,88364368,259624155,False,DUE,,True,2025-01-30 16:44:00
20250130 16:44,A,Division & Oakley,18163,8416,144,70,70,Westbound,Austin,2025-01-30 16:44:00,70 -804,88364372,259624158,False,DUE,,True,2025-01-30 16:44:00
20250130 16:44,A,Division & Keeler,17979,8652,1513,70,70,Westbound,Austin,2025-01-30 16:45:00,72 -804,88364369,259624156,False,DUE,,True,2025-01-30 16:45:00
20250130 16:44,A,Division & Karlov,2084,8652,709,70,70,Westbound,Austin,2025-01-30 16:45:00,72 -804,88364369,259624156,False,DUE,,True,2025-01-30 16:45:00
20250130 16:44,A,Division & Wells,15676,1085,365,70,70,Westbound,Austin,2025-01-30 16:45:00,70 -854,88364375,259624160,False,DUE,,True,2025-01-30 16:45:00
20250130 16:44,A,Division & Pine,2098,8691,1075,70,70,Westbound,Austin,2025-01-30 16:45:00,70 -810,88364368,259624155,False,DUE,,True,2025-01-30 16:45:00
20250130 16:44,A,Division & Elston,2053,8588,862,70,70,Westbound,Austin,2025-01-30 16:45:00,70 -814,88364373,259624159,False,DUE,,True,2025-01-30 16:45:00
20250130 16:44,A,Division & Western,14569,8416,882,70,70,Westbound,Austin,2025-01-30 16:46:00,70 -804,88364372,259624158,False,2,,True,2025-01-30 16:46:00
20250130 16:44,A,Division & Kildare,2086,8652,2033,70,70,Westbound,Austin,2025-01-30 16:46:00,72 -804,88364369,259624156,False,2,,True,2025-01-30 16:46:00
20250130 16:44,A,300 W Division,2041,1085,839,70,70,Westbound,Austin,2025-01-30 16:46:00,70 -854,88364375,259624160,False,DUE,,True,2025-01-30 16:46:00
20250130 16:44,A,Division & Central Park,2079,1964,1362,70,70,Westbound,Austin,2025-01-30 16:46:00,70 -852,88364371,259624157,False,2,,True,2025-01-30 16:46:00
20250130 16:44,A,Division & Noble,2055,8588,1772,70,70,Westbound,Austin,2025-01-30 16:46:00,70 -814,88364373,259624159,False,2,,True,2025-01-30 16:46:00
20250130 16:44,A,Division & Central,17982,8691,1711,70,70,Westbound,Austin,2025-01-30 16:46:00,70 -810,88364368,259624155,False,2,,True,2025-01-30 16:46:00
20250130 16:44,A,Division & Waller,2100,8691,2250,70,70,Westbound,Austin,2025-01-30 16:47:00,70 -810,88364368,259624155,False,2,,True,2025-01-30 16:47:00
20250130 16:44,A,Division & Cleaver,2056,8588,2084,70,70,Westbound,Austin,2025-01-30 16:47:00,70 -814,88364373,259624159,False,2,,True,2025-01-30 16:47:00
