tmstmp,typ,stpnm,stpid,vid,dstp,rt,rtdd,rtdir,des,prdtm,tablockid,tatripid,origtatripno,dly,prdctdn,zone,crt_prd,dep_time
20250130 19:08,A,Division & Kilbourn,15962,1964,801,70,70,Westbound,Austin,2025-01-30 19:09:00,70 -852,88364384,259624168,False,DUE,,True,2025-01-30 19:09:00
20250130 19:08,A,4659 W Division,2090,1964,2104,70,70,Westbound,Austin,2025-01-30 19:09:00,70 -852,88364384,259624168,False,DUE,,True,2025-01-30 19:09:00
20250130 19:08,A,Division & Cherry,2051,1085,789,70,70,Westbound,Austin,2025-01-30 19:09:00,70 -854,88364386,259624170,False,DUE,,True,2025-01-30 19:09:00
20250130 19:08,A,Division & Oakley,18163,8588,142,70,70,Westbound,Austin,2025-01-30 19:09:00,70 -814,88364385,259624169,False,DUE,,True,2025-01-30 19:09:00
20250130 19:08,A,Division & Kolmar,2089,1964,1005,70,70,Westbound,Austin,2025-01-30 19:09:00,70 -852,88364384,259624168,False,DUE,,True,2025-01-30 19:09:00
20250130 19:08,A,Walton & Clark,18412,8789,767,22,22,Northbound,Howard,2025-01-30 19:10:00,22 -573,1040962,259616878,False,DUE,,True,2025-01-30 19:10:00
20250130 19:08,A,Division & Elston,2053,1085,2175,70,70,Westbound,Austin,2025-01-30 19:10:00,70 -854,88364386,259624170,False,DUE,,True,2025-01-30 19:10:00
20250130 19:08,A,Clark & Maple,1898,8789,1593,22,22,Northbound,Howard,2025-01-30 19:10:00,22 -573,1040962,259616878,False,DUE,,True,2025-01-30 19:10:00
20250130 19:08,A,Division & Cicero,16095,1964,2820,70,70,Westbound,Austin,2025-01-30 19:10:00,70 -852,88364384,259624168,False,DUE,,True,2025-01-30 19:10:00
20250130 19:08,A,Division & North Branch,15369,1085,1307,70,70,Westbound,Austin,2025-01-30 19:10:00,70 -854,88364386,259624170,False,DUE,,True,2025-01-30 19:10:00
20250130 19:08,A,Clark & Oak,18732,8789,1244,22,22,Northbound,Howard,2025-01-30 19:10:00,22 -573,1040962,259616878,False,DUE,,True,2025-01-30 19:10:00
20250130 19:08,A,Division & Western,14569,8588,880,70,70,Westbound,Austin,2025-01-30 19:10:00,70 -814,88364385,259624169,False,DUE,,True,2025-01-30 19:10:00
20250130 19:08,A,Division & Lavergne,2093,1964,4015,70,70,Westbound,Austin,2025-01-30 19:11:00,70 -852,88364384,259624168,False,2,,True,2025-01-30 19:11:00
20250130 19:08,A,Division & Noble,2055,1085,3085,70,70,Westbound,Austin,2025-01-30 19:11:00,70 -854,88364386,259624170,False,2,,True,2025-01-30 19:11:00
