tmstmp,typ,stpnm,stpid,vid,dstp,rt,rtdd,rtdir,des,prdtm,tablockid,tatripid,origtatripno,dly,prdctdn,zone,crt_prd,dep_time
20250129 15:58,A,Walton & Clark,18412,1585,603,22,22,Northbound,Howard,2025-01-29 15:59:00,22 -512,1040924,259616850,False,DUE,,True,2025-01-29 15:59:00
20250129 15:58,A,Division & Elston,2053,1962,498,70,70,Westbound,Austin,2025-01-29 15:59:00,70 -810,88364368,259624155,False,DUE,,True,2025-01-29 15:59:00
20250129 15:59,A,Division & Grand/Monticello,15042,1075,164,70,70,Westbound,Austin,2025-01-29 15:59:00,70 -807,88364365,259624152,False,DUE,,True,2025-01-29 15:59:00
20250129 15:58,A,Division & Wood,2061,2001,154,70,70,Westbound,Austin,2025-01-29 15:59:00,70 -808,88364367,259624154,False,DUE,,True,2025-01-29 15:59:00
20250129 15:59,A,Division & Kilbourn,15962,8668,722,70,70,Westbound,Austin,2025-01-29 15:59:00,70 -851,88364364,259624151,False,DUE,,True,2025-01-29 15:59:00
20250129 15:59,A,Division & Kolmar,2089,8668,926,70,70,Westbound,Austin,2025-01-29 15:59:00,70 -851,88364364,259624151,False,DUE,,True,2025-01-29 15:59:00
20250129 15:59,A,Division & Clark,2038,8110,171,70,70,Westbound,Austin,2025-01-29 15:59:00,72 -804,88364369,259624156,False,DUE,,True,2025-01-29 15:59:00
20250129 15:59,A,Division & Kostner,17980,8668,69,70,70,Westbound,Austin,2025-01-29 15:59:00,70 -851,88364364,259624151,False,DUE,,True,2025-01-29 15:59:00
20250129 15:59,A,Division & Hamlin,17978,1075,1049,70,70,Westbound,Austin,2025-01-29 16:00:00,70 -807,88364365,259624152,False,DUE,,True,2025-01-29 16:00:00
20250129 15:58,A,Clark & Oak,18732,1585,1080,22,22,Northbound,Howard,2025-01-29 16:00:00,22 -512,1040924,259616850,False,DUE,,True,2025-01-29 16:00:00
20250129 15:59,A,4659 W Division,2090,8668,2025,70,70,Westbound,Austin,2025-01-29 16:00:00,70 -851,88364364,259624151,False,DUE,,True,2025-01-29 16:00:00
20250129 15:58,A,Division & Lockwood,2096,8184,1299,70,70,Westbound,Austin,2025-01-29 16:00:00,70 -801,88364363,259624150,False,DUE,,True,2025-01-29 16:00:00
20250129 15:58,A,Division & Laramie,17185,8184,746,70,70,Westbound,Austin,2025-01-29 16:00:00,70 -801,88364363,259624150,False,DUE,,True,2025-01-29 16:00:00
20250129 15:58,A,Division & Oakley,18163,2011,809,70,70,Westbound,Austin,2025-01-29 16:00:00,70 -853,88364366,259624153,False,DUE,,True,2025-01-29 16:00:00
20250129 15:58,A,Clark & Maple,1898,1585,1429,22,22,Northbound,Howard,2025-01-29 16:01:00,22 -512,1040924,259616850,False,2,,True,2025-01-29 16:01:00
20250129 15:58,A,Division & Pine,2098,8184,2814,70,70,Westbound,Austin,2025-01-29 16:01:00,70 -801,88364363,259624150,False,2,,True,2025-01-29 16:01:00
20250129 15:59,A,Division & Cicero,16095,8668,2741,70,70,Westbound,Austin,2025-01-29 16:01:00,70 -851,88364364,259624151,False,2,,True,2025-01-29 16:01:00
20250129 15:58,A,Division & Noble,2055,1962,1408,70,70,Westbound,Austin,2025-01-29 16:01:00,70 -810,88364368,259624155,False,2,,True,2025-01-29 16:01:00
20250129 15:59,D,Division & Austin Terminal,1970,8615,0,70,70,Eastbound,Walton & Dearborn,2025-01-29 16:01:00,70 -806,88364464,259624070,False,DUE,,True,2025-01-29 16:01:00
20250129 15:58,A,Division & Cleaver,2056,1962,1720,70,70,Westbound,Austin,2025-01-29 16:01:00,70 -810,88364368,259624155,False,2,,True,2025-01-29 16:01:00
20250129 15:58,A,Division & Damen,2063,2001,1486,70,70,Westbound,Austin,2025-01-29 16:01:00,70 -808,88364367,259624154,False,2,,True,2025-01-29 16:01:00
20250129 15:58,A,Division & Long,17981,8184,2164,70,70,Westbound,Austin,2025-01-29 16:01:00,70 -801,88364363,259624150,False,2,,True,2025-01-29 16:01:00
20250129 15:59,A,Division & Wells,15676,8110,1019,70,70,Westbound,Austin,2025-01-29 16:01:00,72 -804,88364369,259624156,False,2,,False,2025-01-29 16:03:00
20250129 15:58,A,Division & Western,14569,2011,1547,70,70,Westbound,Austin,2025-01-29 16:01:00,70 -853,88364366,259624153,False,2,,True,2025-01-29 16:01:00
20250129 15:59,A,Division & Springfield,2082,1075,1590,70,70,Westbound,Austin,2025-01-29 16:02:00,70 -807,88364365,259624152,False,3,,True,2025-01-29 16:02:00
20250129 15:58,A,Division & Campbell,2068,2011,2012,70,70,Westbound,Austin,2025-01-29 16:02:00,70 -853,88364366,259624153,False,3,,True,2025-01-29 16:02:00
20250129 15:58,A,Division & Waller,2100,8184,3989,70,70,Westbound,Austin,2025-01-29 16:02:00,70 -801,88364363,259624150,False,3,,True,2025-01-29 16:02:00
20250129 15:58,A,Division & Central,17982,8184,3450,70,70,Westbound,Austin,2025-01-29 16:02:00,70 -801,88364363,259624150,False,3,,True,2025-01-29 16:02:00
20250129 15:59,A,300 W Division,2041,8110,1493,70,70,Westbound,Austin,2025-01-29 16:02:00,72 -804,88364369,259624156,False,3,,True,2025-01-29 16:02:00
20250129 15:59,A,Division & Lamon,2092,8668,3264,70,70,Westbound,Austin,2025-01-29 16:02:00,70 -851,88364364,259624151,False,2,,True,2025-01-29 16:02:00
20250129 15:59,A,Division & Lavergne,2093,8668,3936,70,70,Westbound,Austin,2025-01-29 16:02:00,70 -851,88364364,259624151,False,3,,True,2025-01-29 16:02:00
20250129 15:58,A,Division & Menard,2101,8184,4630,70,70,Westbound,Austin,2025-01-29 16:03:00,70 -801,88364363,259624150,False,4,,True,2025-01-29 16:03:00
20250129 15:58,A,Division & Rockwell,2069,2011,2686,70,70,Westbound,Austin,2025-01-29 16:03:00,70 -853,88364366,259624153,False,4,,True,2025-01-29 16:03:00
